BasinID,X,Y,H,root_depth,competence,M_D,Dbh,area,strain,stable
2,483569.4,6989629.8,27.76,0.8025,0.070890934,17.688,0.496563455,49.91046308,1.366078611,0
3,483888.6,6989494.2,27.58,0.778659436,0.024687329,6.896,0.491511554,49.48013656,0.548791461,0
4,483568.8,6989628,27.5,1.130463944,0.071482536,15.558,0.489272304,49.28917828,1.254709811,0
5,483887.4,6989494.2,27.04,0.96505884,0.024639118,6.374,0.476468998,48.19474728,0.555459835,0
6,483889.8,6989494.2,27.01,0.865740182,0.024637291,6.634,0.475638296,48.12358414,0.581118889,0
7,483935.4,6989520,26.68,1.147940055,0.089165041,19.584,0.466535448,47.34252099,1.815124979,0
8,483936,6989521.2,26.71,1.085934712,0.089340611,20.219,0.467360333,47.4133952,1.864298404,0
9,483934.8,6989521.8,26.59,1.130794295,0.085980435,18.981,0.464063976,47.13005672,1.786783163,0
10,483934.2,6989520.6,26.5,1.135852883,0.085654286,18.816,0.461597283,46.91783046,1.799014081,0
11,483870.6,6989532.6,26.55,1.408668589,0.026928635,5.496,0.462967078,47.03570452,0.520951578,0
12,483868.2,6989538.6,26.27,1.30824077,0.02517127,5.281,0.455315277,46.37655943,0.525495074,0
13,483871.2,6989530.8,26.14,1.553790822,0.027054104,5.201,0.45177845,46.07131618,0.529461785,0
14,483872.4,6989531.4,26.23,1.544448033,0.027158784,5.28,0.454225954,46.28258504,0.529097958,0
15,483919.2,6989463,26.06,0.902546603,0.029652837,9.877,0.449606933,45.88372372,1.019828847,1
16,483889.8,6989492.4,26.13,1.147344438,0.0247921,5.984,0.451506802,46.04785671,0.610298601,0
17,483889.8,6989495.4,26.07,0.880442798,0.025311319,6.807,0.449878164,45.90716236,0.701617257,0
18,483867,6989535.6,25.93,1.294287414,0.025394199,5.435,0.446086344,45.57929264,0.574129738,0
19,483868.2,6989535.6,25.93,1.308808544,0.025390813,5.397,0.446086344,45.57929264,0.570180372,0
20,483891,6989497.2,25.82,1.083663987,0.024327676,5.947,0.443115257,45.32209146,0.640614352,0
21,483861,6989503.8,25.81,1.272644352,0.027924628,6.222,0.442845516,45.2987275,0.671411569,0
22,483936.6,6989520,25.72,1.162565266,0.089723413,19.731,0.440420543,45.08858682,2.163648405,0
