BasinID,X,Y,H,root_depth,competence,M_D,Dbh,area,strain,stable
2,483569.4,6989629.8,27.76,0.684346129,0.046689842,3.001316365,0.496563455,49.91046308,0.231791657,0
3,483888.6,6989494.2,27.58,0.710222909,0.008222116,0.47659218,0.491511554,49.48013656,0.037925231,0
4,483568.8,6989628,27.5,0.991469232,0.047393105,2.260122157,0.489272304,49.28917828,0.182269968,0
5,483887.4,6989494.2,27.04,0.889477582,0.008254984,0.402682742,0.476468998,48.19474728,0.035093365,0
6,483889.8,6989494.2,27.01,0.795022744,0.008229559,0.443638959,0.475638296,48.12358414,0.038860392,0
7,483935.4,6989520,26.68,0.99796853,0.040942024,1.381662924,0.466535448,47.34252099,0.128058174,0
8,483936,6989521.2,26.71,0.941572718,0.040893535,1.495620982,0.467360333,47.4133952,0.137906574,0
9,483934.8,6989521.8,26.59,0.977144138,0.04252424,1.464841343,0.464063976,47.13005672,0.137890922,0
10,483934.2,6989520.6,26.5,0.982550826,0.042420255,1.450084841,0.461597283,46.91783046,0.13864375,0
11,483870.6,6989532.6,26.55,1.267912958,0.013226438,0.326088157,0.462967078,47.03570452,0.030908836,0
12,483868.2,6989538.6,26.27,1.175375683,0.012686156,0.346327264,0.455315277,46.37655943,0.034464679,0
13,483871.2,6989530.8,26.14,1.402316262,0.013353359,0.274035018,0.45177845,46.07131618,0.027898579,0
14,483872.4,6989531.4,26.23,1.393891914,0.013376202,0.282675213,0.454225954,46.28258504,0.028327802,0
15,483919.2,6989463,26.06,0.843986974,0.011620234,1.041898021,0.449606933,45.88372372,0.107574634,0
16,483889.8,6989492.4,26.13,1.065402947,0.00833409,0.348925491,0.451506802,46.04785671,0.035585356,0
17,483889.8,6989495.4,26.07,0.8070316,0.009063176,0.497116197,0.449878164,45.90716236,0.05123633,0
18,483867,6989535.6,25.93,1.165196891,0.012740511,0.371800623,0.446086344,45.57929264,0.039278938,0
19,483868.2,6989535.6,25.93,1.178530587,0.012747784,0.364593552,0.446086344,45.57929264,0.038517546,0
20,483891,6989497.2,25.82,1.001018553,0.008857186,0.38883549,0.443115257,45.32209146,0.041887538,0
21,483861,6989503.8,25.81,1.174746692,0.010059479,0.339553574,0.442845516,45.2987275,0.036643664,0
22,483936.6,6989520,25.72,1.017602908,0.041095725,1.435239891,0.440420543,45.08858682,0.157388439,0
23,483869.4,6989535.6,25.76,1.208294932,0.012700695,0.347435224,0.441497711,45.18195267,0.037829184,0
24,483918.6,6989460,25.68,0.976869339,0.01169661,0.989415018,0.439344332,44.99526904,0.109276466,0
25,483890.4,6989490,25.61,1.076901158,0.008832969,0.36991465,0.437463271,44.83207874,0.041369996,0
26,483934.2,6989517.6,25.65,1.085313664,0.029647656,1.018495197,0.438537804,44.92531228,0.113092817,0
27,483568.8,6989632.2,25.67,0.501682157,0.077225701,5.943842175,0.43907543,44.97194711,0.657644342,0
28,483919.8,6989460,25.5,0.980052617,0.01162498,0.972276568,0.434513255,44.57593522,0.110903312,0
29,483889.8,6989497.2,25.56,0.945666249,0.009101114,0.437096509,0.436121454,44.71560461,0.049323366,0
30,483883.2,6989467.8,25.46,1.842063506,0.009071619,0.285528664,0.433442323,44.48288272,0.032804227,0
31,483888,6989496.6,25.4,0.867621499,0.00903938,0.468222223,0.43183773,44.34339473,0.054378728,0
32,483890.4,6989481.6,25.35,1.880117762,0.009898994,0.240436047,0.430502223,44.22723804,0.028177263,0
33,483893.4,6989490.6,25.27,0.785150405,0.0086786,0.489947663,0.428368545,44.04154512,0.058255893,0
34,483933.6,6989522.4,25.27,1.039417526,0.042296949,1.399080237,0.428368545,44.04154512,0.166353826,0
35,483853.2,6989545.8,25.36,1.048017276,0.013332497,0.441272194,0.430769204,44.25046331,0.051620328,0
36,483921,6989462.4,25.16,0.864286178,0.008691336,0.799562671,0.425441041,43.78653512,0.09698931,0
37,483894.6,6989490.6,25.25,0.765302261,0.008669536,0.498732423,0.427835728,43.99515227,0.059515966,0
38,483937.2,6989521.2,25.17,0.941054709,0.04097234,1.625386102,0.425706876,43.80970262,0.196805489,0
39,483885.6,6989455.2,25.06,1.451068074,0.007976177,0.457938837,0.422786017,43.55502796,0.056572106,0
40,483920.4,6989461.2,25.14,0.9136598,0.008686831,0.778340726,0.424909552,43.74020927,0.094759641,0
41,483933.6,6989519.4,25.13,1.03814684,0.029614414,1.109145931,0.424643899,43.71705092,0.135280108,0
42,483870,6989530.2,25.11,1.382341805,0.013346881,0.305427701,0.424112773,43.67074338,0.037388477,0
43,483873,6989532.6,25.04,1.372886542,0.013312941,0.309444434,0.422255739,43.50876318,0.038367709,0
44,483939,6989411.4,24.94,1.15456926,0.00766561,0.704353628,0.41960798,43.27762296,0.088947509,0
45,483883.2,6989465.4,24.97,1.809046551,0.009065388,0.314081587,0.420401671,43.34693286,0.039445218,0
46,483934.8,6989515.8,24.98,1.151879607,0.029599714,0.946697928,0.420666356,43.37004229,0.118677086,0
47,483931.8,6989526.6,25.02,1.0992501,0.042582718,1.525658761,0.421725702,43.46251064,0.189858541,0
48,483869.4,6989538,25.03,1.188146504,0.012811164,0.38397082,0.42199069,43.48563538,0.047695349,0
49,483814.8,6989611.8,25.01,1.593875226,0.023692715,0.17492906,0.421460775,43.43938896,0.021808707,0
50,483908.4,6989423.4,24.84,1.340019515,0.002764929,0.225179643,0.416966286,43.04678941,0.028964266,0
51,483903.6,6989426.4,24.91,1.152554675,0.002563258,0.238325001,0.418814834,43.20834065,0.030262621,0
52,483884.4,6989455.2,24.88,1.372483453,0.007595071,0.468151959,0.418022235,43.13908598,0.059775115,0
53,483874.2,6989532,24.86,1.339871247,0.013222521,0.322502314,0.417494139,43.09293155,0.041330029,0
54,483813,6989613.6,24.87,1.66067762,0.023797961,0.126581826,0.417758156,43.11600723,0.016192147,0
55,483908.4,6989422.2,24.72,1.410700596,0.002808582,0.223052429,0.413804273,42.77019515,0.029333874,0
56,483921,6989460,24.77,1.009630762,0.008579599,0.712866844,0.415120714,42.88538885,0.092886664,0
57,483883.8,6989469,24.72,1.87652832,0.009177969,0.287076532,0.413804273,42.77019515,0.037753755,0
58,483862.8,6989503.8,24.79,1.144888721,0.010057612,0.373396646,0.415647716,42.93148791,0.048474185,0
59,483934.8,6989523,24.72,1.014290786,0.042913598,1.584651919,0.413804273,42.77019515,0.208399344,0
60,483627.6,6989641.2,24.79,0.746790174,0.086988909,3.753990189,0.415647716,42.93148791,0.487341326,0
61,483957.6,6989409,24.67,1.224398454,0.009381539,0.850958624,0.412489354,42.65507857,0.112952589,0
